Player Name,Player ID,gamesPlayed,doubles,triples,homeRuns,strikeOuts,hits,numberOfPitches,inningsPitched,battersFaced,outs,strikes,singles,balls
Brad Brach,542960,27,2,1,1,22,22,439,23.2,104,71,275,18,164
Chad Sobotka,656977,14,1,0,2,21,5,228,14.1,58,43,145,2,83
Arodys Vizcaino,527055,39,8,0,4,40,30,640,38.1,158,115,411,18,229
Anibal Sanchez,434671,25,21,2,15,135,106,2130,136.2,553,410,1373,68,757
Mike Foltynewicz,592314,31,25,5,17,202,130,3041,183,744,549,1916,83,1125
Shane Carle,641438,53,15,0,2,43,50,957,63,259,189,615,33,342
Kevin Gausman,592332,10,9,1,5,44,50,929,59.2,242,179,607,35,322
Max Fried,608331,14,3,1,3,44,26,571,33.2,142,101,346,19,225
Jesse Biddle,592145,60,9,0,6,67,50,1013,63.2,266,191,641,35,372
A.J. Minter,621345,65,9,1,3,69,57,1045,61.1,260,184,671,44,374
Dan Winkler,595465,69,13,2,3,69,52,1034,60.1,255,181,656,34,378
Mike Soroka,647336,5,10,0,1,21,30,405,25.2,113,77,258,19,147
Jonny Venters,458924,28,3,0,0,16,15,319,20.1,87,61,185,12,134
Sean Newcomb,656794,31,21,4,18,160,137,2921,164,696,492,1786,94,1135
Julio Teheran,527054,31,25,4,26,162,122,2802,175.2,724,527,1713,67,1089
Touki Toussaint,657053,7,7,0,1,32,18,476,29,123,87,276,10,200
Sam Freeman,518693,63,7,0,3,58,41,887,50.1,216,151,536,31,351
Luke Jackson,592426,35,10,1,3,46,41,708,40.2,184,122,442,27,266
Peter Moylan,493247,39,4,0,4,23,32,516,28.1,129,85,321,24,195
Kyle Wright,657140,4,0,0,2,5,4,128,6,28,18,66,2,62
Brandon McCarthy,435221,15,15,1,15,65,94,1215,78.2,339,236,815,63,400
Matt Wisler,605538,7,7,1,6,21,30,409,26.2,112,80,262,16,147
Luiz Gohara,627894,9,4,1,3,18,16,302,19.2,82,59,196,8,106
Josh Ravin,502051,2,1,0,0,1,2,53,3,14,9,30,1,23
Bryse Wilson,669060,3,4,0,0,6,8,135,7,33,21,84,4,51
Wes Parsons,641149,1,1,0,1,3,6,82,5,23,15,45,4,37
Lucas Sims,608371,6,2,0,2,10,12,201,10.1,52,31,112,8,89
Evan Phillips,623465,4,1,0,3,3,6,104,6.1,29,19,65,2,39
Charlie Culberson,518586,1,1,0,0,0,2,10,1,5,3,7,1,3
Miguel Socolovich,462515,4,3,1,0,4,8,99,5,25,15,62,4,37
Kolby Allard,663465,3,2,0,3,3,19,161,8,47,24,95,14,66
Jose Ramirez,542432,7,4,0,0,7,9,155,6.1,38,19,88,5,67
Adam McCreery,607030,1,0,0,0,2,4,30,1,7,3,19,4,11
Chase Whitley,595032,1,1,0,1,1,2,20,1,6,3,12,0,8
Rex Brothers,571521,1,0,0,0,0,0,12,0,2,0,4,0,8
